,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
2128,"Rp 4,25 Miliar",Cicilan: 17 Jutaan per bulan,"Rumah 2 Lantai Bagus Furnished SHM di Setra Murni, Bandung","Setra Murni, Bandung",4,3,3,LT : 176 m²,LB : 250 m²
2129,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,Dijual Rumah Kalijati Antapani Terusan Jalan Jakarta,"Antapani, Bandung",3,2,1,LT : 142 m²,LB : 100 m²
2130,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Bagus 2 Lantai Shm Di Buah Batu Bandung,"Buah Batu, Bandung",6,4,1,LT : 202 m²,LB : 160 m²
2131,"Rp 2,4 Miliar",Cicilan: 9 Jutaan per bulan,"Rumah Minimalis 2 Lantai Turun Harga di Batununggal, Bandung","Batununggal, Bandung",3,3,1,LT : 117 m²,LB : 180 m²
2132,"Rp 14,5 Miliar",Cicilan: 58 Jutaan per bulan,"Rumah Mewah Dan Asri Bergaya Tropis di Batununggal Indah, Bandung","Batununggal, Bandung",4,3,2,LT : 540 m²,LB : 500 m²
2133,"Rp 8,8 Miliar",Cicilan: 35 Jutaan per bulan,"Rumah Mewah Sangat Keren di Cluster Terbaik Batununggal, Bandung","Batununggal, Bandung",3,3,2,LT : 375 m²,LB : 400 m²
2134,"Rp 2,7 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Lama Bagus Shm Di Buahbatu Bandung,"Buah Batu, Bandung",4,2,1,LT : 210 m²,LB : 150 m²
2135,"Rp 4,1 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Hoeck 2 Lantai Strategis Di Kota Baru Parahyangan ,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 240 m²,LB : 230 m²
2136,"Rp 1,75 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Baru Minimalis 2 Lantai lokasi strategis di Bandung kota ,"Bandung Kota, Bandung",3,3,2,LT : 80 m²,LB : 101 m²
2137,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Baru Minimalis bagus Lokasi Bandung kota di Leuwi Panjang,"Bandung Kota, Bandung",3,2,1,LT : 235 m²,LB : 175 m²
2138,"Rp 2,25 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Minimalis Modern 2 Lantai Bandung kota di Leuwi Panjang,"Bandung Kota, Bandung",3,3,2,LT : 116 m²,LB : 117 m²
2139,"Rp 1,85 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Baru Minimalis Dekat Pusat Kota Bandung di Leuwi Panjang,"Bandung Kota, Bandung",2,2,2,LT : 96 m²,LB : 90 m²
2140,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Baru Bandung Leuwipanjang Minimalis Modern Elegan 1 Lantai Strategis,"Leuwi Panjang, Bandung",4,3,1,LT : 235 m²,LB : 175 m²
