,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
6205,"Rp 6,1 Miliar",Cicilan: 23 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,3,2,LT : 305 m²,LB : 200 m²
6206,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,1,LT : 84 m²,LB : 60 m²
6207,"Rp 2,9 Miliar",Cicilan: 11 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",4,2,0,LT : 136 m²,LB : 180 m²
6208,"Rp 3,57 Miliar",Cicilan: 13 Jutaan per bulan,No Data,"Terusan Buah Batu, Bandung",4,3,2,LT : 140 m²,LB : 280 m²
6209,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Sarijadi, Bandung",7,3,1,LT : 128 m²,LB : 150 m²
6210,"Rp 2,55 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,1,0,LT : 162 m²,LB : 125 m²
6211,"Rp 4,5 Miliar",Cicilan: 17 Jutaan per bulan,No Data,"Turangga, Bandung",4,4,0,LT : 220 m²,LB : 285 m²
6212,"Rp 2,79 Miliar",Cicilan: 10 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,2,0,LT : 126 m²,LB : 140 m²
6213,"Rp 1,69 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Padalarang, Bandung",2,1,1,LT : 72 m²,LB : 42 m²
6214,"Rp 6,75 Miliar",Cicilan: 25 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",6,3,1,LT : 312 m²,LB : 450 m²
6215,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,3,1,LT : 102 m²,LB : 113 m²
6216,"Rp 1,3 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,1,LT : 90 m²,LB : 135 m²
6217,"Rp 1,3 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,1,LT : 90 m²,LB : 135 m²
6218,Rp 13 Miliar,Cicilan: 49 Jutaan per bulan,No Data,"Setiabudi, Bandung",5,3,0,LT : 1192 m²,LB : 550 m²
6219,"Rp 1,7 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,2,0,LT : 108 m²,LB : 101 m²
6220,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",2,1,0,LT : 84 m²,LB : 60 m²
6221,"Rp 2,65 Miliar",Cicilan: 10 Jutaan per bulan,No Data,"Buah Batu, Bandung",6,2,0,LT : 200 m²,LB : 250 m²
6222,"Rp 4,1 Miliar",Cicilan: 15 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",3,2,2,LT : 200 m²,LB : 250 m²
6223,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,0,LT : 115 m²,LB : 80 m²
6224,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,0,LT : 160 m²,LB : 100 m²
6225,"Rp 7,5 Miliar",Cicilan: 28 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",6,5,2,LT : 525 m²,LB : 300 m²
6226,Rp 975 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,0,LT : 69 m²,LB : 54 m²
6227,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,No Data,"Soekarno Hatta, Bandung",4,3,2,LT : 105 m²,LB : 200 m²
6228,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,No Data,"Soekarno Hatta, Bandung",4,3,2,LT : 105 m²,LB : 200 m²
6229,"Rp 4,5 Miliar",Cicilan: 17 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",3,2,1,LT : 240 m²,LB : 150 m²
6230,"Rp 8,8 Miliar",Cicilan: 33 Jutaan per bulan,No Data,"Sukajadi, Bandung",4,4,1,LT : 476 m²,LB : 500 m²
