,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
9701,"Rp 4,3 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Murah Sulaksana Baru Antapani Cicaheum,"Antapani, Bandung",4,3,3,LT : 493 m²,LB : 400 m²
9702,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,Jual Rumah Sederhana Siap Huni di Tki 3 Blok E Hadap Timur,"Taman Kopo Indah, Bandung",2,1,1,LT : 112 m²,LB : 80 m²
9703,Rp 4 Miliar,Cicilan: 15 Jutaan per bulan,Rumah di Resort Dago Pakar Rose Garden Downslope SHM,"Dago, Bandung",5,3,3,LT : 320 m²,LB : 300 m²
9704,Rp 420 Juta,Cicilan: 1 Jutaan per bulan,Di Jual Cepat Rumah Dua Lantai Siap Huni Di Komplek Cibiru Asri ,"Cibiru, Bandung",2,2,1,LT : 60 m²,LB : 100 m²
9705,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,Dijual Rumah 2Lantai Minimalis Semifurnish di Batununggal Jelita ,"Batununggal, Bandung",4,3,1,LT : 180 m²,LB : 250 m²
9706,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,Terbatas Rumah Di Cluster Flora Type Freya Summarecon ,"Summarecon Bandung, Bandung",4,2,1,LT : 105 m²,LB : 104 m²
9707,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Minimalis Siap Huni Di Pondok Hijau Geger Kalong Bandung,"Geger Kalong, Bandung",3,3,1,LT : 152 m²,LB : 170 m²
9708,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,Rumah 2 Lantai Siap Huni Area Margawangi Buah Batu Bandung,"Buah Batu, Bandung",4,2,1,LT : 152 m²,LB : 140 m²
9709,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,Jual Rumah Mainroad Siap Huni Lebar Muka 12 Mtr Hrg Nego Sampai Jadi,"Cibaduyut, Bandung",5,3,2,LT : 240 m²,LB : 260 m²
9710,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Bagus 2 Lantai di Komplek De La Rose Residence,"Arcamanik, Bandung",5,2,1,LT : 186 m²,LB : 210 m²
